Problem:    transportOptimization
Rows:       232
Columns:    210 (210 integer, 210 binary)
Non-zeros:  932
Status:     INTEGER OPTIMAL
Objective:  osszKiadas = 116500 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 csomagFerjenFelaKocsiraEsUtvonalonLegyen[1]
                                   0                          -0 
     2 csomagFerjenFelaKocsiraEsUtvonalonLegyen[2]
                                -100                          -0 
     3 csomagFerjenFelaKocsiraEsUtvonalonLegyen[3]
                                 -90                          -0 
     4 csomagFerjenFelaKocsiraEsUtvonalonLegyen[4]
                                 -80                          -0 
     5 csomagFerjenFelaKocsiraEsUtvonalonLegyen[5]
                                   0                          -0 
     6 csomagFerjenFelaKocsiraEsUtvonalonLegyen[6]
                                   0                          -0 
     7 csomagFerjenFelaKocsiraEsUtvonalonLegyen[7]
                                   0                          -0 
     8 csomagFerjenFelaKocsiraEsUtvonalonLegyen[8]
                                   0                          -0 
     9 csomagFerjenFelaKocsiraEsUtvonalonLegyen[9]
                                   0                          -0 
    10 csomagFerjenFelaKocsiraEsUtvonalonLegyen[10]
                                   0                          -0 
    11 ferjenFelAzOsszesCsomagKocsira
                                1400          1130               
    12 utvonalonLegyenaCim[1,1]
                                   0                          -0 
    13 utvonalonLegyenaCim[1,2]
                                   0                          -0 
    14 utvonalonLegyenaCim[1,3]
                                   0                          -0 
    15 utvonalonLegyenaCim[1,4]
                                   0                          -0 
    16 utvonalonLegyenaCim[1,5]
                                   0                          -0 
    17 utvonalonLegyenaCim[1,6]
                                   0                          -0 
    18 utvonalonLegyenaCim[1,7]
                                   0                          -0 
    19 utvonalonLegyenaCim[1,8]
                                   0                          -0 
    20 utvonalonLegyenaCim[1,9]
                                   0                          -0 
    21 utvonalonLegyenaCim[1,10]
                                   0                          -0 
    22 utvonalonLegyenaCim[1,11]
                                   0                          -0 
    23 utvonalonLegyenaCim[1,12]
                                   0                          -0 
    24 utvonalonLegyenaCim[1,13]
                                   0                          -0 
    25 utvonalonLegyenaCim[1,14]
                                   0                          -0 
    26 utvonalonLegyenaCim[1,15]
                                   0                          -0 
    27 utvonalonLegyenaCim[1,16]
                                   0                          -0 
    28 utvonalonLegyenaCim[1,17]
                                   0                          -0 
    29 utvonalonLegyenaCim[1,18]
                                   0                          -0 
    30 utvonalonLegyenaCim[1,19]
                                   0                          -0 
    31 utvonalonLegyenaCim[1,20]
                                   0                          -0 
    32 utvonalonLegyenaCim[2,1]
                                  -1                          -0 
    33 utvonalonLegyenaCim[2,2]
                                   0                          -0 
    34 utvonalonLegyenaCim[2,3]
                                  -1                          -0 
    35 utvonalonLegyenaCim[2,4]
                                   0                          -0 
    36 utvonalonLegyenaCim[2,5]
                                  -1                          -0 
    37 utvonalonLegyenaCim[2,6]
                                  -1                          -0 
    38 utvonalonLegyenaCim[2,7]
                                   0                          -0 
    39 utvonalonLegyenaCim[2,8]
                                  -1                          -0 
    40 utvonalonLegyenaCim[2,9]
                                  -1                          -0 
    41 utvonalonLegyenaCim[2,10]
                                  -1                          -0 
    42 utvonalonLegyenaCim[2,11]
                                  -1                          -0 
    43 utvonalonLegyenaCim[2,12]
                                  -1                          -0 
    44 utvonalonLegyenaCim[2,13]
                                   0                          -0 
    45 utvonalonLegyenaCim[2,14]
                                   0                          -0 
    46 utvonalonLegyenaCim[2,15]
                                   0                          -0 
    47 utvonalonLegyenaCim[2,16]
                                   0                          -0 
    48 utvonalonLegyenaCim[2,17]
                                  -1                          -0 
    49 utvonalonLegyenaCim[2,18]
                                  -1                          -0 
    50 utvonalonLegyenaCim[2,19]
                                   0                          -0 
    51 utvonalonLegyenaCim[2,20]
                                   0                          -0 
    52 utvonalonLegyenaCim[3,1]
                                   0                          -0 
    53 utvonalonLegyenaCim[3,2]
                                  -1                          -0 
    54 utvonalonLegyenaCim[3,3]
                                   0                          -0 
    55 utvonalonLegyenaCim[3,4]
                                  -1                          -0 
    56 utvonalonLegyenaCim[3,5]
                                   0                          -0 
    57 utvonalonLegyenaCim[3,6]
                                  -1                          -0 
    58 utvonalonLegyenaCim[3,7]
                                  -1                          -0 
    59 utvonalonLegyenaCim[3,8]
                                   0                          -0 
    60 utvonalonLegyenaCim[3,9]
                                  -1                          -0 
    61 utvonalonLegyenaCim[3,10]
                                   0                          -0 
    62 utvonalonLegyenaCim[3,11]
                                  -1                          -0 
    63 utvonalonLegyenaCim[3,12]
                                  -1                          -0 
    64 utvonalonLegyenaCim[3,13]
                                  -1                          -0 
    65 utvonalonLegyenaCim[3,14]
                                  -1                          -0 
    66 utvonalonLegyenaCim[3,15]
                                  -1                          -0 
    67 utvonalonLegyenaCim[3,16]
                                  -1                          -0 
    68 utvonalonLegyenaCim[3,17]
                                  -1                          -0 
    69 utvonalonLegyenaCim[3,18]
                                  -1                          -0 
    70 utvonalonLegyenaCim[3,19]
                                  -1                          -0 
    71 utvonalonLegyenaCim[3,20]
                                  -1                          -0 
    72 utvonalonLegyenaCim[4,1]
                                  -1                          -0 
    73 utvonalonLegyenaCim[4,2]
                                  -1                          -0 
    74 utvonalonLegyenaCim[4,3]
                                  -1                          -0 
    75 utvonalonLegyenaCim[4,4]
                                  -1                          -0 
    76 utvonalonLegyenaCim[4,5]
                                  -1                          -0 
    77 utvonalonLegyenaCim[4,6]
                                   0                          -0 
    78 utvonalonLegyenaCim[4,7]
                                  -1                          -0 
    79 utvonalonLegyenaCim[4,8]
                                  -1                          -0 
    80 utvonalonLegyenaCim[4,9]
                                   0                          -0 
    81 utvonalonLegyenaCim[4,10]
                                  -1                          -0 
    82 utvonalonLegyenaCim[4,11]
                                   0                          -0 
    83 utvonalonLegyenaCim[4,12]
                                   0                          -0 
    84 utvonalonLegyenaCim[4,13]
                                  -1                          -0 
    85 utvonalonLegyenaCim[4,14]
                                  -1                          -0 
    86 utvonalonLegyenaCim[4,15]
                                  -1                          -0 
    87 utvonalonLegyenaCim[4,16]
                                  -1                          -0 
    88 utvonalonLegyenaCim[4,17]
                                   0                          -0 
    89 utvonalonLegyenaCim[4,18]
                                   0                          -0 
    90 utvonalonLegyenaCim[4,19]
                                  -1                          -0 
    91 utvonalonLegyenaCim[4,20]
                                  -1                          -0 
    92 utvonalonLegyenaCim[5,1]
                                   0                          -0 
    93 utvonalonLegyenaCim[5,2]
                                   0                          -0 
    94 utvonalonLegyenaCim[5,3]
                                   0                          -0 
    95 utvonalonLegyenaCim[5,4]
                                   0                          -0 
    96 utvonalonLegyenaCim[5,5]
                                   0                          -0 
    97 utvonalonLegyenaCim[5,6]
                                   0                          -0 
    98 utvonalonLegyenaCim[5,7]
                                   0                          -0 
    99 utvonalonLegyenaCim[5,8]
                                   0                          -0 
